airport,isDTW,lat,long,flightsDTW
VDZ,0,61.13389969,-146.2480011,0
VEE,0,67.0086975098,-146.365997314,0
VEL,0,40.4408989,-109.5100021,0
VIS,0,36.3186988831,-119.392997742,0
VLD,0,30.7824993134,-83.2767028809,0
VPS,0,30.4832,-86.525398,0
WAA,0,65.622593,-168.095,0
WBQ,0,66.362197876,-147.406997681,0
WLK,0,66.60009766,-159.9859924,0
WMO,0,64.689201355,-163.412994385,0
WNA,0,60.6902999878,-161.9790039063,0
WRG,0,56.48429871,-132.3699951,0
WRL,0,43.9656982422,-107.9509963989,0
WSN,0,58.7033996582,-157.007995605,0
WTK,0,67.5661010742,-162.9750061035,0
YAK,0,59.5032997131,-139.660003662,0
YKM,0,46.56819916,-120.5439987,0
YNG,0,41.26070023,-80.67910004,0
YUM,0,32.65660095,-114.6060028,0
